,Year,Month,State,Beverage Type,Gallons,Ethanol,Population,PerCapita,PerCapita3yr,PctChange,index,positive,totalTestResults,Positivity Rate,Shutdown Length
1385,2019,8,Kentucky,Wine,413778,53377,3691561,0.0145,,,,,,0.0,0
1386,2019,8,Louisiana,Wine,799035,103076,3799736,0.0271,,,,,,0.0,46
1387,2019,8,Massachusetts,Wine,2270800,292933,5862386,0.05,,,,,,0.0,55
1388,2019,8,Missouri,Wine,1106918,142792,5077875,0.0281,,,,,,0.0,27
1389,2019,8,North Dakota,Wine,109461,14120,617880,0.0229,,,,,,0.0,0
1390,2019,8,Oregon,Wine,1529991,197369,3547474,0.0556,,,,,,0.0,0
1391,2019,8,Texas,Wine,4859768,626910,23257363,0.027000000000000003,,,,,,0.0,28
1392,2019,8,Virginia,Wine,2220196,286405,7094962,0.0404,,,,,,0.0,0
1393,2019,8,Wisconsin,Wine,1350790,174252,4851640,0.0359,,,,,,0.0,49
1394,2019,8,Alaska,Beer,1567534,70539,589481,0.1197,,,,,,0.0,0
1395,2019,8,Arkansas,Beer,4382154,197197,2476087,0.0796,,,,,,0.0,0
1396,2019,8,Colorado,Beer,12581500,566168,4789291,0.1182,,,,,,0.0,31
1397,2019,8,Connecticut,Beer,5355822,241012,3019188,0.0798,,,,,,0.0,0
1398,2019,8,Florida,Beer,37629575,1693331,18207522,0.09300000000000001,,,,,,0.0,31
1399,2019,8,Illinois,Beer,25737407,1158183,10512479,0.1102,,,,,,0.0,70
1400,2019,8,Kansas,Beer,4969956,223648,2371396,0.0943,,,,,,0.0,35
1401,2019,8,Kentucky,Beer,6898182,310418,3691561,0.0841,,,,,,0.0,0
1402,2019,8,Massachusetts,Beer,12110737,544983,5862386,0.09300000000000001,,,,,,0.0,55
1403,2019,8,Missouri,Beer,11429358,514321,5077875,0.1013,,,,,,0.0,27
1404,2019,8,North Dakota,Beer,1810137,81456,617880,0.1318,,,,,,0.0,0
1405,2019,8,Oregon,Beer,7189488,323527,3547474,0.0912,,,,,,0.0,0
1406,2019,8,Texas,Beer,56899320,2560469,23257363,0.1101,,,,,,0.0,28
1407,2019,8,Virginia,Beer,14327950,644758,7094962,0.0909,,,,,,0.0,0
1408,2019,9,Alaska,Spirits,143787,59096,589481,0.1003,,,,,,0.0,0
1409,2019,9,Arkansas,Spirits,309084,127033,2476087,0.0513,,,,,,0.0,0
1410,2019,9,Colorado,Spirits,1105700,454443,4789291,0.0949,,,,,,0.0,31
1411,2019,9,Connecticut,Spirits,625783,257197,3019188,0.0852,,,,,,0.0,0
1412,2019,9,Florida,Spirits,3269153,1343622,18207522,0.0738,,,,,,0.0,31
1413,2019,9,Illinois,Spirits,1760771,723677,10512479,0.0688,,,,,,0.0,70
1414,2019,9,Kansas,Spirits,362549,149008,2371396,0.0628,,,,,,0.0,35
1415,2019,9,Kentucky,Spirits,343686,141255,3691561,0.0383,,,,,,0.0,0
1416,2019,9,Louisiana,Spirits,701163,288178,3799736,0.0758,,,,,,0.0,46
1417,2019,9,Massachusetts,Spirits,1121543,460954,5862386,0.0786,,,,,,0.0,55
1418,2019,9,Missouri,Spirits,1193157,490388,5077875,0.0966,,,,,,0.0,27
1419,2019,9,North Dakota,Spirits,173603,71351,617880,0.1155,,,,,,0.0,0
1420,2019,9,Texas,Spirits,3204162,1316911,23257363,0.0566,,,,,,0.0,28
1421,2019,9,Virginia,Spirits,955443,392687,7094962,0.0553,,,,,,0.0,0
1422,2019,9,Wisconsin,Spirits,1200377,493355,4851640,0.1017,,,,,,0.0,49
1423,2019,9,Alaska,Wine,182852,23588,589481,0.04,,,,,,0.0,0
1424,2019,9,Arkansas,Wine,319281,41187,2476087,0.0166,,,,,,0.0,0
1425,2019,9,Colorado,Wine,1329400,171493,4789291,0.0358,,,,,,0.0,31
1426,2019,9,Connecticut,Wine,948079,122302,3019188,0.0405,,,,,,0.0,0
1427,2019,9,Florida,Wine,4782798,616981,18207522,0.0339,,,,,,0.0,31
1428,2019,9,Illinois,Wine,2818018,363524,10512479,0.0346,,,,,,0.0,70
1429,2019,9,Kentucky,Wine,332586,42904,3691561,0.0116,,,,,,0.0,0
1430,2019,9,Louisiana,Wine,718027,92625,3799736,0.0244,,,,,,0.0,46
1431,2019,9,Massachusetts,Wine,2173289,280354,5862386,0.0478,,,,,,0.0,55
1432,2019,9,Missouri,Wine,1134079,146296,5077875,0.0288,,,,,,0.0,27
1433,2019,9,North Dakota,Wine,110647,14273,617880,0.0231,,,,,,0.0,0
1434,2019,9,Oregon,Wine,1402974,180984,3547474,0.051,,,,,,0.0,0
1435,2019,9,Texas,Wine,4988884,643566,23257363,0.0277,,,,,,0.0,28
1436,2019,9,Virginia,Wine,2072158,267308,7094962,0.0377,,,,,,0.0,0
1437,2019,9,Wisconsin,Wine,1179182,152114,4851640,0.0314,,,,,,0.0,49
1438,2019,9,Alaska,Beer,1066398,47988,589481,0.0814,,,,,,0.0,0
1439,2019,9,Arkansas,Beer,4432396,199458,2476087,0.0806,,,,,,0.0,0
1440,2019,9,Colorado,Beer,10574700,475862,4789291,0.0994,,,,,,0.0,31
1441,2019,9,Connecticut,Beer,4179183,188063,3019188,0.0623,,,,,,0.0,0
1442,2019,9,Florida,Beer,30129493,1355827,18207522,0.0745,,,,,,0.0,31
1443,2019,9,Illinois,Beer,19692667,886170,10512479,0.0843,,,,,,0.0,70
1444,2019,9,Kansas,Beer,5543744,249469,2371396,0.1052,,,,,,0.0,35
1445,2019,9,Kentucky,Beer,4856448,218540,3691561,0.0592,,,,,,0.0,0
1446,2019,9,Massachusetts,Beer,9172676,412770,5862386,0.0704,,,,,,0.0,55
1447,2019,9,Missouri,Beer,10384234,467291,5077875,0.092,,,,,,0.0,27
1448,2019,9,North Dakota,Beer,1594504,71753,617880,0.1161,,,,,,0.0,0
1449,2019,9,Oregon,Beer,9603374,432152,3547474,0.1218,,,,,,0.0,0
1450,2019,9,Texas,Beer,59852479,2693362,23257363,0.1158,,,,,,0.0,28
1451,2019,9,Virginia,Beer,12159643,547184,7094962,0.0771,,,,,,0.0,0
1452,2019,10,Alaska,Spirits,151302,62185,589481,0.1055,,,,,,0.0,0
1453,2019,10,Arkansas,Spirits,346958,142600,2476087,0.0576,,,,,,0.0,0
1454,2019,10,Colorado,Spirits,1265800,520244,4789291,0.1086,,,,,,0.0,31
1455,2019,10,Connecticut,Spirits,768063,315674,3019188,0.1046,,,,,,0.0,0
1456,2019,10,Florida,Spirits,4397862,1807521,18207522,0.0993,,,,,,0.0,31
1457,2019,10,Illinois,Spirits,2073333,852140,10512479,0.0811,,,,,,0.0,70
1458,2019,10,Kansas,Spirits,437660,179878,2371396,0.0759,,,,,,0.0,35
1459,2019,10,Kentucky,Spirits,960122,394610,3691561,0.1069,,,,,,0.0,0
1460,2019,10,Louisiana,Spirits,921046,378550,3799736,0.0996,,,,,,0.0,46
1461,2019,10,Massachusetts,Spirits,1576362,647885,5862386,0.1105,,,,,,0.0,55
1462,2019,10,Missouri,Spirits,1150842,472996,5077875,0.0931,,,,,,0.0,27
1463,2019,10,North Dakota,Spirits,185505,76242,617880,0.1234,,,,,,0.0,0
1464,2019,10,Texas,Spirits,3046515,1252118,23257363,0.0538,,,,,,0.0,28
1465,2019,10,Virginia,Spirits,1037498,426412,7094962,0.0601,,,,,,0.0,0
1466,2019,10,Wisconsin,Spirits,1409532,579318,4851640,0.1194,,,,,,0.0,49
1467,2019,10,Alaska,Wine,190634,24592,589481,0.0417,,,,,,0.0,0
1468,2019,10,Arkansas,Wine,314465,40566,2476087,0.0164,,,,,,0.0,0
