State,date,Positive COVID Tests,Total COVID Tests,Month,Day,Year,COVID Positivity Rate
North Carolina,9/28/2020,208248.0,3004533.0,09 Sep,28,2020,6.93
North Dakota,9/28/2020,20983.0,603922.0,09 Sep,28,2020,3.47
Nebraska,9/28/2020,44063.0,448361.0,09 Sep,28,2020,9.83
New Hampshire,9/28/2020,8208.0,432396.0,09 Sep,28,2020,1.9
New Jersey,9/28/2020,204107.0,3566304.0,09 Sep,28,2020,5.72
New Mexico,9/28/2020,28844.0,905329.0,09 Sep,28,2020,3.19
Nevada,9/28/2020,79191.0,692673.0,09 Sep,28,2020,11.43
New York,9/28/2020,456460.0,10561122.0,09 Sep,28,2020,4.32
Ohio,9/28/2020,151802.0,3106176.0,09 Sep,28,2020,4.89
Oklahoma,9/28/2020,85194.0,1160669.0,09 Sep,28,2020,7.34
Oregon,9/28/2020,32994.0,675029.0,09 Sep,28,2020,4.89
Pennsylvania,9/28/2020,156826.0,2012317.0,09 Sep,28,2020,7.79
Puerto Rico,9/28/2020,47422.0,353394.0,09 Sep,28,2020,13.42
Rhode Island,9/28/2020,24424.0,753156.0,09 Sep,28,2020,3.24
South Carolina,9/28/2020,146455.0,1273928.0,09 Sep,28,2020,11.5
South Dakota,9/28/2020,21738.0,188344.0,09 Sep,28,2020,11.54
Tennesee,9/28/2020,193732.0,2847342.0,09 Sep,28,2020,6.8
Texas,9/28/2020,739743.0,6171755.0,09 Sep,28,2020,11.99
Utah,9/28/2020,71442.0,817461.0,09 Sep,28,2020,8.74
Virginia,9/28/2020,146593.0,2027168.0,09 Sep,28,2020,7.23
Virgin Islands,9/28/2020,1317.0,20160.0,09 Sep,28,2020,6.53
Vermont,9/28/2020,1745.0,161925.0,09 Sep,28,2020,1.08
Washington,9/28/2020,86269.0,1837206.0,09 Sep,28,2020,4.7
Wisconsin,9/28/2020,124217.0,1529594.0,09 Sep,28,2020,8.12
West Virginia,9/28/2020,15512.0,553270.0,09 Sep,28,2020,2.8
Wyoming,9/28/2020,5754.0,100116.0,09 Sep,28,2020,5.75
Alaska,9/27/2020,8431.0,442869.0,09 Sep,27,2020,1.9
Alabama,9/27/2020,152321.0,1111239.0,09 Sep,27,2020,13.71
Arkansas,9/27/2020,81242.0,940627.0,09 Sep,27,2020,8.64
American Samoa,9/27/2020,0.0,1571.0,09 Sep,27,2020,0.0
Arizona,9/27/2020,217237.0,1443323.0,09 Sep,27,2020,15.05
California,9/27/2020,802308.0,14333498.0,09 Sep,27,2020,5.6
Colorado,9/27/2020,68510.0,1295655.0,09 Sep,27,2020,5.29
Connecticut,9/27/2020,56587.0,1519151.0,09 Sep,27,2020,3.72
District of Columbia,9/27/2020,15250.0,381159.0,09 Sep,27,2020,4.0
Delaware,9/27/2020,20260.0,282024.0,09 Sep,27,2020,7.18
Florida,9/27/2020,700564.0,5253441.0,09 Sep,27,2020,13.34
Georgia,9/27/2020,314685.0,2886269.0,09 Sep,27,2020,10.9
Guam,9/27/2020,2354.0,48719.0,09 Sep,27,2020,4.83
Hawaii,9/27/2020,12197.0,401251.0,09 Sep,27,2020,3.04
Iowa,9/27/2020,83636.0,754623.0,09 Sep,27,2020,11.08
Idaho,9/27/2020,40296.0,301206.0,09 Sep,27,2020,13.38
Illinois,9/27/2020,290419.0,5481999.0,09 Sep,27,2020,5.3
Indiana,9/27/2020,117450.0,1358860.0,09 Sep,27,2020,8.64
Kansas,9/27/2020,56592.0,502770.0,09 Sep,27,2020,11.26
Kentucky,9/27/2020,66491.0,1274688.0,09 Sep,27,2020,5.22
Louisiana,9/27/2020,166075.0,2283149.0,09 Sep,27,2020,7.27
Massachusetts,9/27/2020,130642.0,3881846.0,09 Sep,27,2020,3.37
Maryland,9/27/2020,123403.0,1594363.0,09 Sep,27,2020,7.74
Maine,9/27/2020,5288.0,421196.0,09 Sep,27,2020,1.26
Michigan,9/27/2020,134373.0,3543057.0,09 Sep,27,2020,3.79
Minnesota,9/27/2020,96734.0,1981100.0,09 Sep,27,2020,4.88
Missouri,9/27/2020,123406.0,1699319.0,09 Sep,27,2020,7.26
Northern Mariana Islands,9/27/2020,70.0,14846.0,09 Sep,27,2020,0.47
Mississippi,9/27/2020,96859.0,730895.0,09 Sep,27,2020,13.25
Montana,9/27/2020,12107.0,330307.0,09 Sep,27,2020,3.67
North Carolina,9/27/2020,207380.0,2978728.0,09 Sep,27,2020,6.96
North Dakota,9/27/2020,20724.0,600067.0,09 Sep,27,2020,3.45
Nebraska,9/27/2020,43596.0,445129.0,09 Sep,27,2020,9.79
New Hampshire,9/27/2020,8172.0,432396.0,09 Sep,27,2020,1.89
New Jersey,9/27/2020,203548.0,3513266.0,09 Sep,27,2020,5.79
New Mexico,9/27/2020,28692.0,899937.0,09 Sep,27,2020,3.19
Nevada,9/27/2020,78728.0,688956.0,09 Sep,27,2020,11.43
New York,9/27/2020,455626.0,10508186.0,09 Sep,27,2020,4.34
Ohio,9/27/2020,150809.0,3071187.0,09 Sep,27,2020,4.91
Oklahoma,9/27/2020,83510.0,1158985.0,09 Sep,27,2020,7.21
Oregon,9/27/2020,32820.0,671490.0,09 Sep,27,2020,4.89
Pennsylvania,9/27/2020,156150.0,2001220.0,09 Sep,27,2020,7.8
Puerto Rico,9/27/2020,46304.0,352276.0,09 Sep,27,2020,13.14
Rhode Island,9/27/2020,24398.0,751148.0,09 Sep,27,2020,3.25
South Carolina,9/27/2020,145887.0,1252538.0,09 Sep,27,2020,11.65
South Dakota,9/27/2020,21541.0,187504.0,09 Sep,27,2020,11.49
Tennesee,9/27/2020,192995.0,2832536.0,09 Sep,27,2020,6.81
Texas,9/27/2020,735132.0,6016907.0,09 Sep,27,2020,12.22
Utah,9/27/2020,70615.0,811249.0,09 Sep,27,2020,8.7
Virginia,9/27/2020,146144.0,2003129.0,09 Sep,27,2020,7.3
Virgin Islands,9/27/2020,1317.0,20160.0,09 Sep,27,2020,6.53
Vermont,9/27/2020,1742.0,160990.0,09 Sep,27,2020,1.08
Washington,9/27/2020,85830.0,1820623.0,09 Sep,27,2020,4.71
Wisconsin,9/27/2020,122478.0,1521696.0,09 Sep,27,2020,8.05
West Virginia,9/27/2020,15348.0,549723.0,09 Sep,27,2020,2.79
Wyoming,9/27/2020,5633.0,98039.0,09 Sep,27,2020,5.75
Alaska,9/26/2020,8315.0,442869.0,09 Sep,26,2020,1.88
Alabama,9/26/2020,151591.0,1104932.0,09 Sep,26,2020,13.72
Arkansas,9/26/2020,80755.0,933895.0,09 Sep,26,2020,8.65
American Samoa,9/26/2020,0.0,1571.0,09 Sep,26,2020,0.0
Arizona,9/26/2020,216826.0,1434227.0,09 Sep,26,2020,15.12
California,9/26/2020,798237.0,14182730.0,09 Sep,26,2020,5.63
Colorado,9/26/2020,67926.0,1277613.0,09 Sep,26,2020,5.32
Connecticut,9/26/2020,56587.0,1519151.0,09 Sep,26,2020,3.72
District of Columbia,9/26/2020,15215.0,377979.0,09 Sep,26,2020,4.03
Delaware,9/26/2020,20156.0,280399.0,09 Sep,26,2020,7.19
Florida,9/26/2020,698682.0,5235007.0,09 Sep,26,2020,13.35
Georgia,9/26/2020,313873.0,2872355.0,09 Sep,26,2020,10.93
Guam,9/26/2020,2354.0,48719.0,09 Sep,26,2020,4.83
Hawaii,9/26/2020,12070.0,396996.0,09 Sep,26,2020,3.04
Iowa,9/26/2020,82944.0,750898.0,09 Sep,26,2020,11.05
Idaho,9/26/2020,39757.0,298652.0,09 Sep,26,2020,13.31
Illinois,9/26/2020,288815.0,5431177.0,09 Sep,26,2020,5.32
Indiana,9/26/2020,116549.0,1350390.0,09 Sep,26,2020,8.63
Kansas,9/26/2020,56592.0,502770.0,09 Sep,26,2020,11.26
Kentucky,9/26/2020,66036.0,1274688.0,09 Sep,26,2020,5.18
Louisiana,9/26/2020,165152.0,2256065.0,09 Sep,26,2020,7.32
Massachusetts,9/26/2020,130050.0,3780020.0,09 Sep,26,2020,3.44
Maryland,9/26/2020,122972.0,1584300.0,09 Sep,26,2020,7.76
Maine,9/26/2020,5260.0,406419.0,09 Sep,26,2020,1.29
Michigan,9/26/2020,134373.0,3543057.0,09 Sep,26,2020,3.79
Minnesota,9/26/2020,95659.0,1954715.0,09 Sep,26,2020,4.89
Missouri,9/26/2020,122014.0,1687509.0,09 Sep,26,2020,7.23
Northern Mariana Islands,9/26/2020,69.0,14845.0,09 Sep,26,2020,0.46
Mississippi,9/26/2020,96677.0,730713.0,09 Sep,26,2020,13.23
Montana,9/26/2020,11907.0,329285.0,09 Sep,26,2020,3.62
North Carolina,9/26/2020,206090.0,2947803.0,09 Sep,26,2020,6.99
North Dakota,9/26/2020,20380.0,594628.0,09 Sep,26,2020,3.43
Nebraska,9/26/2020,43162.0,440645.0,09 Sep,26,2020,9.8
New Hampshire,9/26/2020,8121.0,422591.0,09 Sep,26,2020,1.92
New Jersey,9/26/2020,202850.0,3512568.0,09 Sep,26,2020,5.77
New Mexico,9/26/2020,28487.0,893489.0,09 Sep,26,2020,3.19
Nevada,9/26/2020,78355.0,685678.0,09 Sep,26,2020,11.43
New York,9/26/2020,454760.0,10423416.0,09 Sep,26,2020,4.36
Ohio,9/26/2020,150009.0,3033987.0,09 Sep,26,2020,4.94
Oklahoma,9/26/2020,83510.0,1158985.0,09 Sep,26,2020,7.21
Oregon,9/26/2020,32581.0,668671.0,09 Sep,26,2020,4.87
Pennsylvania,9/26/2020,155232.0,1985524.0,09 Sep,26,2020,7.82
Puerto Rico,9/26/2020,45413.0,351385.0,09 Sep,26,2020,12.92
Rhode Island,9/26/2020,24284.0,741963.0,09 Sep,26,2020,3.27
South Carolina,9/26/2020,145273.0,1242797.0,09 Sep,26,2020,11.69
