Year,Month,FIPS,Beverage,Gallons,Ethanol,Population,PerCapita,PerCapita3yr,PctChange
2017,6,51,2,2302976,297084,7015247,0.0423,,
2017,6,55,2,1296188,167208,4805415,0.0348,,
2017,6,2,3,1628971,73304,593378,0.1235,,
2017,6,5,3,4874538,219354,2455022,0.0893,,
2017,6,8,3,12475707,561407,4634346,0.1211,,
2017,6,9,3,5953145,267892,3015481,0.0888,,
2017,6,12,3,36521145,1643452,17722275,0.0927,,
2017,6,17,3,27967981,1258559,10556100,0.1192,,
2017,6,20,3,4629261,208317,2356231,0.0884,,
2017,6,21,3,7170994,322695,3670568,0.0879,,
2017,6,25,3,12701265,571557,5815595,0.0983,,
2017,6,29,3,12127850,545753,5037634,0.1083,,
2017,6,38,3,2263360,101851,613251,0.1661,,
2017,6,41,3,8916745,401254,3468412,0.1157,,
2017,6,48,3,62431460,2809416,22572383,0.1245,,
2017,6,51,3,15082202,678699,7015247,0.0967,,
2017,7,2,1,149097,61279,593378,0.1033,,
2017,7,5,1,385670,158511,2455022,0.0646,,
2017,7,8,1,933813,383797,4634346,0.0828,,
2017,7,9,1,573968,235901,3015481,0.0782,,
2017,7,12,1,2717018,1116694,17722275,0.063,,
2017,7,17,1,1244927,511665,10556100,0.0485,,
2017,7,20,1,454458,186782,2356231,0.0793,,
2017,7,21,1,689831,283521,3670568,0.0772,,
2017,7,22,1,637038,261823,3807282,0.0688,,
2017,7,25,1,835468,343377,5815595,0.059,,
2017,7,29,1,884627,363582,5037634,0.0722,,
2017,7,38,1,154796,63621,613251,0.1037,,
2017,7,48,1,3356248,1379418,22572383,0.0611,,
2017,7,51,1,950169,390519,7015247,0.0557,,
2017,7,55,1,1540551,633166,4805415,0.1318,,
2017,7,2,2,213686,27565,593378,0.0465,,
2017,7,5,2,365591,47161,2455022,0.0192,,
2017,7,8,2,1336047,172350,4634346,0.0372,,
2017,7,9,2,1103936,142408,3015481,0.0472,,
2017,7,12,2,4407939,568624,17722275,0.0321,,
2017,7,17,2,2429733,313436,10556100,0.0297,,
2017,7,21,2,540076,69670,3670568,0.019,,
2017,7,22,2,663628,85608,3807282,0.0225,,
2017,7,25,2,1846016,238136,5815595,0.0409,,
2017,7,29,2,1020401,131632,5037634,0.0261,,
2017,7,38,2,108529,14000,613251,0.0228,,
2017,7,41,2,1492711,192560,3468412,0.0555,,
2017,7,48,2,5106893,658789,22572383,0.0292,,
2017,7,51,2,2015054,259942,7015247,0.0371,,
2017,7,55,2,1352751,174505,4805415,0.0363,,
2017,7,2,3,1408319,63374,593378,0.1068,,
2017,7,5,3,4875683,219406,2455022,0.0894,,
2017,7,8,3,10347649,465644,4634346,0.1005,,
2017,7,9,3,4955283,222988,3015481,0.0739,,
2017,7,12,3,32388125,1457466,17722275,0.0822,,
2017,7,17,3,21395931,962817,10556100,0.0912,,
2017,7,20,3,5711567,257021,2356231,0.1091,,
2017,7,21,3,7756200,349029,3670568,0.0951,,
2017,7,25,3,10822605,487017,5815595,0.0837,,
2017,7,29,3,11000501,495023,5037634,0.0983,,
2017,7,38,3,1857034,83567,613251,0.1363,,
2017,7,41,3,9756756,439054,3468412,0.1266,,
2017,7,48,3,60231134,2710401,22572383,0.1201,,
2017,7,51,3,12634970,568574,7015247,0.081,,
2017,8,2,1,177645,73012,593378,0.123,,
2017,8,5,1,283947,116702,2455022,0.0475,,
2017,8,8,1,1203259,494539,4634346,0.1067,,
2017,8,9,1,537312,220835,3015481,0.0732,,
2017,8,12,1,3392719,1394408,17722275,0.0787,,
2017,8,17,1,1832047,752971,10556100,0.0713,,
2017,8,20,1,295245,121346,2356231,0.0515,,
2017,8,21,1,539733,221830,3670568,0.0604,,
2017,8,22,1,736047,302515,3807282,0.0795,,
2017,8,25,1,1078534,443277,5815595,0.0762,,
2017,8,29,1,1018085,418433,5037634,0.0831,,
