State,Year,Month,Beverage,Ethanol,Population,PerCapita,PerCapita3yr,PctChange
Massachusetts,2019,03 Mar,Beer,413465,5862386,0.0705,,
Missouri,2019,03 Mar,Beer,695256,5077875,0.1369,,
North Dakota,2019,03 Mar,Beer,74180,617880,0.1201,,
Oregon,2019,03 Mar,Beer,293098,3547474,0.0826,,
Texas,2019,03 Mar,Beer,1839722,23257363,0.0791,,
Virginia,2019,03 Mar,Beer,498475,7094962,0.0703,,
Alaska,2019,04 Apr,Spirits,55268,589481,0.0938,,
Arkansas,2019,04 Apr,Spirits,160618,2476087,0.0649,,
Colorado,2019,04 Apr,Spirits,443880,4789291,0.0927,,
Connecticut,2019,04 Apr,Spirits,254701,3019188,0.0844,,
Florida,2019,04 Apr,Spirits,1636061,18207522,0.0899,,
Illinois,2019,04 Apr,Spirits,725139,10512479,0.069,,
Kansas,2019,04 Apr,Spirits,157033,2371396,0.0662,,
Kentucky,2019,04 Apr,Spirits,265682,3691561,0.07200000000000001,,
Louisiana,2019,04 Apr,Spirits,327974,3799736,0.0863,,
Massachusetts,2019,04 Apr,Spirits,444597,5862386,0.0758,,
Missouri,2019,04 Apr,Spirits,483353,5077875,0.0952,,
North Dakota,2019,04 Apr,Spirits,67105,617880,0.1086,,
Texas,2019,04 Apr,Spirits,1274917,23257363,0.0548,,
Virginia,2019,04 Apr,Spirits,394111,7094962,0.0555,,
Wisconsin,2019,04 Apr,Spirits,395346,4851640,0.0815,,
Alaska,2019,04 Apr,Wine,23618,589481,0.0401,,
Arkansas,2019,04 Apr,Wine,52904,2476087,0.0214,,
Colorado,2019,04 Apr,Wine,183128,4789291,0.0382,,
Connecticut,2019,04 Apr,Wine,140983,3019188,0.0467,,
Florida,2019,04 Apr,Wine,825742,18207522,0.0454,,
Illinois,2019,04 Apr,Wine,388191,10512479,0.0369,,
Kentucky,2019,04 Apr,Wine,57272,3691561,0.0155,,
Louisiana,2019,04 Apr,Wine,106950,3799736,0.0281,,
