State,Month,Year,Beverage,Ethanol,PerCapita,,,,,,,,
Arkansas,2,2018,Spirits,108309,4.39,,,5,13.49,14.88,15.76,14.98,59.11
Arkansas,2,2018,Wine,52351,2.12,,,6,16.28,15.88,14.1,14.48,60.74
Arkansas,2,2018,Beer,133500,5.42,,,7,18.21,18.94,16.84,,53.99
Arkansas,3,2018,Spirits,127275,5.16,,,8,16.34,17.09,14.68,,48.11
Arkansas,3,2018,Wine,35343,1.43,,,9,18.27,18.08,17.28,,53.63
Arkansas,3,2018,Beer,172212,6.99,,,10,15.82,14.95,14.67,,45.44
Arkansas,4,2018,Spirits,143676,5.83,,,11,13.78,14.5,13.02,,41.3
Arkansas,4,2018,Wine,50151,2.03,,,12,14.13,13.86,13.61,,41.6
Arkansas,4,2018,Beer,192526,7.81,,,Texas,234.09,226.27,227.77,117.91,806.04
Arkansas,5,2018,Spirits,141942,5.76,,,1,21.47,20.13,20.91,22.41,84.92
Arkansas,5,2018,Wine,49846,2.02,,,2,16.49,16.02,16.85,17.12,66.48
Arkansas,5,2018,Beer,187597,7.61,,,3,15.93,15.72,15.74,15.16,62.55
Arkansas,6,2018,Spirits,146683,5.95,,,4,19.67,19.96,17.7,20.94,78.27
Arkansas,6,2018,Wine,49811,2.02,,,5,18.43,17.76,19.65,20.05,75.89
Arkansas,6,2018,Beer,196146,7.96,,,6,21.18,21.55,21.32,22.23,86.28
Arkansas,7,2018,Spirits,131967,5.35,,,7,21.04,19.81,19,,59.85
Arkansas,7,2018,Wine,52807,2.14,,,8,18.51,19.39,20.21,,58.11
Arkansas,7,2018,Beer,202915,8.23,,,9,18.94,20.13,20.01,,59.08
Arkansas,8,2018,Spirits,103846,4.21,,,10,19.32,16.76,17.26,,53.34
Arkansas,8,2018,Wine,38313,1.55,,,11,19.37,19.31,20.02,,58.7
Arkansas,8,2018,Beer,224585,9.11,,,12,23.74,19.73,19.1,,62.57
Arkansas,9,2018,Spirits,142126,5.77,,,Virginia,212.67,213.88,216.02,99.6,742.17
Arkansas,9,2018,Wine,44833,1.82,,,1,14.78,15.03,15.74,16,61.55
Arkansas,9,2018,Beer,215285,8.73,,,2,14.95,14.78,14.85,15.22,59.8
Arkansas,10,2018,Spirits,122497,4.97,,,3,17.47,17.23,16.54,19.24,70.48
Arkansas,10,2018,Wine,45954,1.86,,,4,16.7,16.64,17.73,18.11,69.18
Arkansas,10,2018,Beer,180185,7.31,,,5,19.28,19.78,20.13,20.03,79.22
Arkansas,11,2018,Spirits,147314,5.98,,,6,19.57,18.82,18.02,11,67.41
Arkansas,11,2018,Wine,46433,1.88,,,7,17.38,18.01,18.91,,54.3
Arkansas,11,2018,Beer,197120,8,,,8,19.16,19.59,19.32,,58.07
Arkansas,12,2018,Spirits,141773,5.75,,,9,17.35,17.35,17.01,,51.71
Arkansas,12,2018,Wine,53967,2.19,,,10,17.76,17.89,18.75,,54.4
Arkansas,12,2018,Beer,163161,6.62,,,11,18.43,18.92,18.6,,55.95
Arkansas,1,2019,Spirits,143719,5.8,,,12,19.84,19.84,20.42,,60.1
Arkansas,1,2019,Wine,46574,1.88,,,Wisconsin,166.03,164.28,168.03,80.46,578.8
Arkansas,1,2019,Beer,116472,4.7,,,1,15.3,14.91,15.86,16.2,62.27
Arkansas,2,2019,Spirits,121047,4.89,,,2,10.3,8.8,11.59,11.87,42.56
Arkansas,2,2019,Wine,54572,2.2,,,3,10.6,14.36,11.69,10.8,47.45
Arkansas,2,2019,Beer,169511,6.85,,,4,15.48,10.34,11.26,14.67,51.75
Arkansas,3,2019,Spirits,142334,5.75,,,5,12.02,15.3,12.72,12.88,52.92
Arkansas,3,2019,Wine,45884,1.85,,,6,15.6,15.13,15.71,14.04,60.48
Arkansas,3,2019,Beer,150820,6.09,,,7,16.81,13.78,16.74,,47.33
Arkansas,4,2019,Spirits,160618,6.49,,,8,11.01,14.85,13.27,,39.13
Arkansas,4,2019,Wine,52904,2.14,,,9,13.84,14.96,13.31,,42.11
Arkansas,4,2019,Beer,176747,7.14,,,10,12.74,13.23,15.5,,41.47
Arkansas,5,2019,Spirits,130988,5.29,,,11,17.49,16.43,16.38,,50.3
Arkansas,5,2019,Wine,53853,2.17,,,12,14.84,12.19,14,,41.03
Arkansas,5,2019,Beer,175198,7.08,,,Grand Total,3624.2,3606.92,3637.43,1708.73,12577.28
Arkansas,6,2019,Spirits,168156,6.79,,,,,,,,
Arkansas,6,2019,Wine,53494,2.16,,,,,,,,
Arkansas,6,2019,Beer,221077,8.93,,,,,,,,
Arkansas,7,2019,Spirits,129611,5.23,,,,,,,,
Arkansas,7,2019,Wine,49012,1.98,,,,,,,,
Arkansas,7,2019,Beer,190735,7.7,,,,,,,,
Arkansas,8,2019,Spirits,121852,4.92,,,,,,,,
Arkansas,8,2019,Wine,42551,1.72,,,,,,,,
Arkansas,8,2019,Beer,197197,7.96,,,,,,,,
Arkansas,9,2019,Spirits,127033,5.13,,,,,,,,
Arkansas,9,2019,Wine,41187,1.66,,,,,,,,
Arkansas,9,2019,Beer,199458,8.06,,,,,,,,
Arkansas,10,2019,Spirits,142600,5.76,,,,,,,,
Arkansas,10,2019,Wine,40566,1.64,,,,,,,,
Arkansas,10,2019,Beer,205787,8.31,,,,,,,,
Arkansas,11,2019,Spirits,183515,7.41,,,,,,,,
Arkansas,11,2019,Wine,53608,2.17,,,,,,,,
Arkansas,11,2019,Beer,192113,7.76,,,,,,,,
Arkansas,12,2019,Spirits,168261,6.8,,,,,,,,
Arkansas,12,2019,Wine,49695,2.01,,,,,,,,
Arkansas,12,2019,Beer,156961,6.34,,,,,,,,
Arkansas,1,2020,Spirits,133955,5.41,,,,,,,,
Arkansas,1,2020,Wine,55650,2.25,,,,,,,,
Arkansas,1,2020,Beer,137573,5.56,,,,,,,,
Arkansas,2,2020,Spirits,123075,4.97,,,,,,,,
Arkansas,2,2020,Wine,45352,1.83,,,,,,,,
Arkansas,2,2020,Beer,154463,6.24,,,,,,,,
Arkansas,3,2020,Spirits,130426,5.27,,,,,,,,
Arkansas,3,2020,Wine,43576,1.76,,,,,,,,
Arkansas,3,2020,Beer,145589,5.88,,,,,,,,
Arkansas,4,2020,Spirits,146139,5.9,,,,,,,,
Arkansas,4,2020,Wine,54066,2.18,,,,,,,,
Arkansas,4,2020,Beer,187381,7.57,,,,,,,,
Arkansas,5,2020,Spirits,160008,6.46,,,,,,,,
Arkansas,5,2020,Wine,59386,2.4,,,,,,,,
Arkansas,5,2020,Beer,205235,8.29,,,,,,,,
Arkansas,6,2020,Spirits,165750,6.69,,,,,,,,
Arkansas,6,2020,Wine,52474,2.12,,,,,,,,
Arkansas,6,2020,Beer,193281,7.81,,,,,,,,
Colorado,1,2017,Spirits,301615,6.51,,,,,,,,
Colorado,1,2017,Wine,147961,3.19,,,,,,,,
Colorado,1,2017,Beer,368146,7.94,,,,,,,,
Colorado,2,2017,Spirits,382023,8.24,,,,,,,,
Colorado,2,2017,Wine,191270,4.13,,,,,,,,
Colorado,2,2017,Beer,358632,7.74,,,,,,,,
Colorado,3,2017,Spirits,474470,10.24,,,,,,,,
Colorado,3,2017,Wine,195612,4.22,,,,,,,,
Colorado,3,2017,Beer,443169,9.56,,,,,,,,
Colorado,4,2017,Spirits,388608,8.39,,,,,,,,
Colorado,4,2017,Wine,177513,3.83,,,,,,,,
Colorado,4,2017,Beer,402741,8.69,,,,,,,,
Colorado,5,2017,Spirits,483545,10.43,,,,,,,,
Colorado,5,2017,Wine,197129,4.25,,,,,,,,
Colorado,5,2017,Beer,480823,10.38,,,,,,,,
Colorado,6,2017,Spirits,591260,12.76,,,,,,,,
Colorado,6,2017,Wine,220427,4.76,,,,,,,,
Colorado,6,2017,Beer,561407,12.11,,,,,,,,
Colorado,7,2017,Spirits,383797,8.28,,,,,,,,
Colorado,7,2017,Wine,172350,3.72,,,,,,,,
Colorado,7,2017,Beer,465644,10.05,,,,,,,,
Colorado,8,2017,Spirits,494539,10.67,,,,,,,,
Colorado,8,2017,Wine,218514,4.72,,,,,,,,
Colorado,8,2017,Beer,537962,11.61,,,,,,,,
Colorado,9,2017,Spirits,433628,9.36,,,,,,,,
Colorado,9,2017,Wine,176028,3.8,,,,,,,,
Colorado,9,2017,Beer,447429,9.65,,,,,,,,
Colorado,10,2017,Spirits,436085,9.41,,,,,,,,
Colorado,10,2017,Wine,206278,4.45,,,,,,,,
Colorado,10,2017,Beer,403754,8.71,,,,,,,,
Colorado,11,2017,Spirits,492659,10.63,,,,,,,,
Colorado,11,2017,Wine,225626,4.87,,,,,,,,
Colorado,11,2017,Beer,419155,9.04,,,,,,,,
Colorado,12,2017,Spirits,646135,13.94,,,,,,,,
Colorado,12,2017,Wine,255828,5.52,,,,,,,,
Colorado,12,2017,Beer,402324,8.68,,,,,,,,
Colorado,1,2018,Spirits,336126,7.13,,,,,,,,
Colorado,1,2018,Wine,156069,3.31,,,,,,,,
Colorado,1,2018,Beer,369988,7.85,,,,,,,,
Colorado,2,2018,Spirits,388788,8.24,,,,,,,,
Colorado,2,2018,Wine,191976,4.07,,,,,,,,
Colorado,2,2018,Beer,343692,7.29,,,,,,,,
Colorado,3,2018,Spirits,463566,9.83,,,,,,,,
Colorado,3,2018,Wine,188622,4,,,,,,,,
Colorado,3,2018,Beer,408455,8.66,,,,,,,,
Colorado,4,2018,Spirits,404253,8.57,,,,,,,,
Colorado,4,2018,Wine,176337,3.74,,,,,,,,
Colorado,4,2018,Beer,417776,8.86,,,,,,,,
Colorado,5,2018,Spirits,526188,11.16,,,,,,,,
Colorado,5,2018,Wine,208957,4.43,,,,,,,,
Colorado,5,2018,Beer,512621,10.87,,,,,,,,
Colorado,6,2018,Spirits,593124,12.58,,,,,,,,
Colorado,6,2018,Wine,212610,4.51,,,,,,,,
Colorado,6,2018,Beer,546352,11.59,,,,,,,,
Colorado,7,2018,Spirits,444594,9.43,,,,,,,,
Colorado,7,2018,Wine,187976,3.99,,,,,,,,
Colorado,7,2018,Beer,508523,10.78,,,,,,,,
Colorado,8,2018,Spirits,520124,11.03,,,,,,,,
Colorado,8,2018,Wine,234915,4.98,,,,,,,,
Colorado,8,2018,Beer,558900,11.85,,,,,,,,
Colorado,9,2018,Spirits,431343,9.15,,,,,,,,
Colorado,9,2018,Wine,173930,3.69,,,,,,,,
Colorado,9,2018,Beer,445498,9.45,,,,,,,,
Colorado,10,2018,Spirits,495193,10.5,,,,,,,,
Colorado,10,2018,Wine,214525,4.55,,,,,,,,
Colorado,10,2018,Beer,422793,8.97,,,,,,,,
Colorado,11,2018,Spirits,513954,10.9,,,,,,,,
Colorado,11,2018,Wine,233078,4.94,,,,,,,,
Colorado,11,2018,Beer,417940,8.86,,,,,,,,
Colorado,12,2018,Spirits,666649,14.14,,,,,,,,
Colorado,12,2018,Wine,256549,5.44,,,,,,,,
Colorado,12,2018,Beer,414575,8.79,,,,,,,,
Colorado,1,2019,Spirits,365585,7.63,,,,,,,,
Colorado,1,2019,Wine,163185,3.41,,,,,,,,
Colorado,1,2019,Beer,444159,9.27,,,,,,,,
Colorado,2,2019,Spirits,408740,8.53,,,,,,,,
Colorado,2,2019,Wine,194764,4.07,,,,,,,,
Colorado,2,2019,Beer,354141,7.39,,,,,,,,
Colorado,3,2019,Spirits,484692,10.12,,,,,,,,
Colorado,3,2019,Wine,188030,3.93,,,,,,,,
Colorado,3,2019,Beer,411489,8.59,,,,,,,,
Colorado,4,2019,Spirits,443880,9.27,,,,,,,,
Colorado,4,2019,Wine,183128,3.82,,,,,,,,
Colorado,4,2019,Beer,464585,9.7,,,,,,,,
Colorado,5,2019,Spirits,284741,5.95,,,,,,,,
Colorado,5,2019,Wine,146093,3.05,,,,,,,,
Colorado,5,2019,Beer,505670,10.56,,,,,,,,
Colorado,6,2019,Spirits,599731,12.52,,,,,,,,
Colorado,6,2019,Wine,198273,4.14,,,,,,,,
Colorado,6,2019,Beer,525699,10.98,,,,,,,,
Colorado,7,2019,Spirits,470020,9.81,,,,,,,,
Colorado,7,2019,Wine,202375,4.23,,,,,,,,
Colorado,7,2019,Beer,539510,11.26,,,,,,,,
Colorado,8,2019,Spirits,517531,10.81,,,,,,,,
Colorado,8,2019,Wine,198557,4.15,,,,,,,,
Colorado,8,2019,Beer,566168,11.82,,,,,,,,
Colorado,9,2019,Spirits,454443,9.49,,,,,,,,
Colorado,9,2019,Wine,171493,3.58,,,,,,,,
Colorado,9,2019,Beer,475862,9.94,,,,,,,,
Colorado,10,2019,Spirits,520244,10.86,,,,,,,,
Colorado,10,2019,Wine,222357,4.64,,,,,,,,
Colorado,10,2019,Beer,466317,9.74,,,,,,,,
Colorado,11,2019,Spirits,438208,9.15,,,,,,,,
Colorado,11,2019,Wine,205497,4.29,,,,,,,,
Colorado,11,2019,Beer,419697,8.76,,,,,,,,
Colorado,12,2019,Spirits,484117,10.11,,,,,,,,
Colorado,12,2019,Wine,193126,4.03,,,,,,,,
Colorado,12,2019,Beer,427653,8.93,,,,,,,,
Colorado,1,2020,Spirits,368544,7.7,,,,,,,,
Colorado,1,2020,Wine,163095,3.41,,,,,,,,
Colorado,1,2020,Beer,401144,8.38,,,,,,,,
Colorado,2,2020,Spirits,418275,8.73,,,,,,,,
Colorado,2,2020,Wine,185554,3.87,,,,,,,,
Colorado,2,2020,Beer,352940,7.37,,,,,,,,
Colorado,3,2020,Spirits,563111,11.76,,,,,,,,
Colorado,3,2020,Wine,222628,4.65,,,,,,,,
Colorado,3,2020,Beer,463734,9.68,,,,,,,,
Colorado,4,2020,Spirits,487857,10.19,,,,,,,,
Colorado,4,2020,Wine,185167,3.87,,,,,,,,
Colorado,4,2020,Beer,411066,8.58,,,,,,,,
Colorado,5,2020,Spirits,520984,10.88,,,,,,,,
Colorado,5,2020,Wine,185902,3.88,,,,,,,,
Colorado,5,2020,Beer,505188,10.55,,,,,,,,
Connecticut,1,2017,Spirits,169373,5.62,,,,,,,,
Connecticut,1,2017,Wine,102520,3.4,,,,,,,,
Connecticut,1,2017,Beer,155251,5.15,,,,,,,,
Connecticut,2,2017,Spirits,237533,7.88,,,,,,,,
Connecticut,2,2017,Wine,131972,4.38,,,,,,,,
Connecticut,2,2017,Beer,160194,5.31,,,,,,,,
Connecticut,3,2017,Spirits,238969,7.92,,,,,,,,
Connecticut,3,2017,Wine,167437,5.55,,,,,,,,
