State,Year,Month,Beverage,Ethanol,Population,PerCapita,PerCapita3yr,PctChange
North Dakota,2017,04 Apr,Spirits,55319,613251,9.02,,
Texas,2017,04 Apr,Spirits,1278104,22572383,5.66,,
Virginia,2017,04 Apr,Spirits,369694,7015247,5.27,,
Wisconsin,2017,04 Apr,Spirits,574748,4805415,11.96,,
Alaska,2017,04 Apr,Wine,21468,593378,3.62,,
Arkansas,2017,04 Apr,Wine,47630,2455022,1.94,,
Colorado,2017,04 Apr,Wine,177513,4634346,3.83,,
Connecticut,2017,04 Apr,Wine,138120,3015481,4.58,,
Florida,2017,04 Apr,Wine,769871,17722275,4.34,,
Illinois,2017,04 Apr,Wine,348096,10556100,3.3,,
Kentucky,2017,04 Apr,Wine,67491,3670568,1.84,,
Louisiana,2017,04 Apr,Wine,98460,3807282,2.59,,
Massachusetts,2017,04 Apr,Wine,300088,5815595,5.16,,
Missouri,2017,04 Apr,Wine,137780,5037634,2.74,,
North Dakota,2017,04 Apr,Wine,20683,613251,3.37,,
Oregon,2017,04 Apr,Wine,188184,3468412,5.43,,
Texas,2017,04 Apr,Wine,642837,22572383,2.85,,
Virginia,2017,04 Apr,Wine,264406,7015247,3.77,,
Wisconsin,2017,04 Apr,Wine,168916,4805415,3.52,,
Alaska,2017,04 Apr,Beer,48108,593378,8.11,,
Arkansas,2017,04 Apr,Beer,184745,2455022,7.53,,
Colorado,2017,04 Apr,Beer,402741,4634346,8.69,,
Connecticut,2017,04 Apr,Beer,194802,3015481,6.46,,
Florida,2017,04 Apr,Beer,1612246,17722275,9.1,,
Illinois,2017,04 Apr,Beer,914762,10556100,8.67,,
Kansas,2017,04 Apr,Beer,216671,2356231,9.2,,
Kentucky,2017,04 Apr,Beer,301052,3670568,8.2,,
Massachusetts,2017,04 Apr,Beer,458262,5815595,7.88,,
Missouri,2017,04 Apr,Beer,490645,5037634,9.74,,
North Dakota,2017,04 Apr,Beer,87042,613251,14.19,,
Oregon,2017,04 Apr,Beer,402710,3468412,11.61,,
Texas,2017,04 Apr,Beer,2519299,22572383,11.16,,
Virginia,2017,04 Apr,Beer,537029,7015247,7.66,,
Alaska,2017,05 May,Spirits,65009,593378,10.96,,
Arkansas,2017,05 May,Spirits,119635,2455022,4.87,,
Colorado,2017,05 May,Spirits,483545,4634346,10.43,,
Connecticut,2017,05 May,Spirits,266423,3015481,8.84,,
Florida,2017,05 May,Spirits,1611285,17722275,9.09,,
Illinois,2017,05 May,Spirits,839733,10556100,7.95,,
Kansas,2017,05 May,Spirits,141906,2356231,6.02,,
Kentucky,2017,05 May,Spirits,235849,3670568,6.43,,
Louisiana,2017,05 May,Spirits,328676,3807282,8.63,,
Massachusetts,2017,05 May,Spirits,521332,5815595,8.96,,
Missouri,2017,05 May,Spirits,446983,5037634,8.87,,
North Dakota,2017,05 May,Spirits,73128,613251,11.92,,
Texas,2017,05 May,Spirits,1340708,22572383,5.94,,
Virginia,2017,05 May,Spirits,400681,7015247,5.71,,
Wisconsin,2017,05 May,Spirits,438642,4805415,9.13,,
Alaska,2017,05 May,Wine,29093,593378,4.9,,
Arkansas,2017,05 May,Wine,41613,2455022,1.7,,
Colorado,2017,05 May,Wine,197129,4634346,4.25,,
Connecticut,2017,05 May,Wine,153124,3015481,5.08,,
Florida,2017,05 May,Wine,729941,17722275,4.12,,
Illinois,2017,05 May,Wine,412985,10556100,3.91,,
Kentucky,2017,05 May,Wine,64019,3670568,1.74,,
Louisiana,2017,05 May,Wine,106659,3807282,2.8,,
Massachusetts,2017,05 May,Wine,326913,5815595,5.62,,
Missouri,2017,05 May,Wine,153723,5037634,3.05,,
North Dakota,2017,05 May,Wine,15738,613251,2.57,,
Oregon,2017,05 May,Wine,143717,3468412,4.14,,
Texas,2017,05 May,Wine,589272,22572383,2.61,,
Virginia,2017,05 May,Wine,293784,7015247,4.19,,
Wisconsin,2017,05 May,Wine,139058,4805415,2.89,,
Alaska,2017,05 May,Beer,65609,593378,11.06,,
Arkansas,2017,05 May,Beer,197455,2455022,8.04,,
Colorado,2017,05 May,Beer,480823,4634346,10.38,,
Connecticut,2017,05 May,Beer,234447,3015481,7.77,,
Florida,2017,05 May,Beer,1732001,17722275,9.77,,
Illinois,2017,05 May,Beer,1130691,10556100,10.71,,
Kansas,2017,05 May,Beer,190116,2356231,8.07,,
Kentucky,2017,05 May,Beer,269277,3670568,7.34,,
Massachusetts,2017,05 May,Beer,547143,5815595,9.41,,
Missouri,2017,05 May,Beer,546178,5037634,10.84,,
North Dakota,2017,05 May,Beer,95223,613251,15.53,,
Oregon,2017,05 May,Beer,324285,3468412,9.35,,
Texas,2017,05 May,Beer,2230238,22572383,9.88,,
Virginia,2017,05 May,Beer,657746,7015247,9.38,,
Alaska,2017,06 Jun,Spirits,74444,593378,12.55,,
Arkansas,2017,06 Jun,Spirits,134789,2455022,5.49,,
Colorado,2017,06 Jun,Spirits,591260,4634346,12.76,,
Connecticut,2017,06 Jun,Spirits,315753,3015481,10.47,,
Florida,2017,06 Jun,Spirits,1891872,17722275,10.68,,
Illinois,2017,06 Jun,Spirits,969247,10556100,9.18,,
Kansas,2017,06 Jun,Spirits,155343,2356231,6.59,,
Kentucky,2017,06 Jun,Spirits,267204,3670568,7.28,,
Louisiana,2017,06 Jun,Spirits,357440,3807282,9.39,,
Massachusetts,2017,06 Jun,Spirits,774198,5815595,13.31,,
Missouri,2017,06 Jun,Spirits,490417,5037634,9.74,,
North Dakota,2017,06 Jun,Spirits,82648,613251,13.48,,
Texas,2017,06 Jun,Spirits,1325485,22572383,5.87,,
Virginia,2017,06 Jun,Spirits,397435,7015247,5.67,,
Wisconsin,2017,06 Jun,Spirits,582305,4805415,12.12,,
Alaska,2017,06 Jun,Wine,32537,593378,5.48,,
Arkansas,2017,06 Jun,Wine,42600,2455022,1.74,,
Colorado,2017,06 Jun,Wine,220427,4634346,4.76,,
Connecticut,2017,06 Jun,Wine,167489,3015481,5.55,,
Florida,2017,06 Jun,Wine,735562,17722275,4.15,,
Illinois,2017,06 Jun,Wine,449843,10556100,4.26,,
Kentucky,2017,06 Jun,Wine,68487,3670568,1.87,,
